gene_name,isoform_fdr,gene_name_lower,gene,exon_fdr,odds_ratio,log10_isoform_fdr,log10_exon_fdr,log2_odds_ratio,composite_score,min_fdr
Nipbl,0.00417733435148111,nipbl,NIPBL,9.19221961778814e-4,17.598104470221404,2.3791007522623064,3.036579560914831,4.137348218304797,9.553028531481935,9.19221961778814e-4
Cfap410,3.7946834141917e-4,cfap410,CFAP410,0.04841856316714291,26.688888910299887,3.4208243364678816,1.3149881016024485,4.738167394589369,9.4739798326597,3.7946834141917e-4
Nr4a2,0.0305981129100969,nr4a2,NR4A2,8.694418516177347e-4,29.206590174428545,1.514305355693957,3.0607594084095835,4.8682220798011056,9.443286843904646,8.694418516177347e-4
Tbx4,0.0199575435597995,tbx4,TBX4,0.02979326320900924,65.3763109623564,1.6998929119785313,1.5258819251341884,6.030696088332501,9.256470925445221,0.0199575435597995
Cacna1c,0.00200310822364245,cacna1c,CACNA1C,0.01963305447399721,28.316273280001873,2.6982955643918327,1.7070121262059519,4.823559549878786,9.228867240476571,0.00200310822364245
Notch1,0.00318538682878735,notch1,NOTCH1,0.0209314160117776,31.234338598350032,2.4968378063958663,1.6792013885401422,4.965061121564997,9.141100316501005,0.00318538682878735
Sms,0.00250777326651954,sms,SMS,0.03779067707506493,34.60755319251493,2.6007117142995853,1.4226153258453824,5.113015080915054,9.136342121060022,0.00250777326651954
Tsc1,4.4902838537816e-4,tsc1,TSC1,0.02304661049031078,17.398511335424946,3.3477261074373326,1.6373929362249415,4.1208920481992966,9.106011091861571,4.4902838537816e-4
Opa1,0.00525297884008826,opa1,OPA1,0.00152071584729188,15.925847818244309,2.279594340339437,2.817951899717125,3.9932983623916707,9.090844602448232,0.00152071584729188
Smad4,7.8369382835077e-4,smad4,SMAD4,0.00517731660243915,12.503418336144824,3.1058535179047477,2.2858952679107776,3.644250780551586,9.035999566367112,7.8369382835077e-4
Iqsec2,0.00366511156968889,iqsec2,IQSEC2,0.01661267920016117,28.07883020412527,2.4359127886106147,1.7795603186962918,4.81141097885225,9.026884086159157,0.00366511156968889
Kcnq3,0.00901014036533228,kcnq3,KCNQ3,0.02433200959936599,41.132139076816635,2.045268438450105,1.6138220190881096,5.362194231104199,9.021284688642414,0.00901014036533228
Ddx3x,0.034068674660461,ddx3x,DDX3X,7.227963927625303e-4,20.94034625396196,1.4676447597521376,3.1409839634403465,4.388213461578956,8.99684218477144,7.227963927625303e-4
